,brand,jenis,bentuk_formula
1941,EUROSOIL EDTA,Lainnya,Butiran (Granular)
1942,DAUN SAWIT,Lainnya,Butiran (Granular)
1943,BAMBU MAS,Pupuk Organik,Cair (Liquid)
1944,K-SM SEHAT SEJAHTERA,Pupuk Organik,Cair (Liquid)
1945,HYPHOS-45,Lainnya,Cair (Liquid)
1946,YIELDER,NPK padat,Butiran (Granular)
1947,AGRIANT MAS,NPK padat,Butiran (Granular)
1948,BAPAK IBU TANI,Lainnya,Tepung (Powder)
1949,SPEEDGRO ,NPK padat,Tepung (Powder)
1950,SANTAGROW,Kalium Klorida (KCl),Butiran (Granular)
1951,CAP SEMANGGI,Pupuk Organik,Butiran (Granular)
1952,SOLUTUS,NPK padat,Tepung (Powder)
1953,RADICAL,Lainnya,Cair (Liquid)
1954,MAGFORA,Dolomit,Tepung (Powder)
1955,PETELIS,Lainnya,Tepung (Powder)
1956,CAP TAWON,NPK padat,Butiran (Granular)
1957,HSS-TRIMULTI,NPK padat,Butiran (Granular)
1958,TOP LAND 29,Pupuk Organik,Butiran (Granular)
1959,CAP TANI JAYA,Lainnya,Tepung (Powder)
1960,GB WINMAX,Lainnya,Cair (Liquid)
1961,UTAH,NPK padat,Butiran (Granular)
1962,Subur Makin Subur,Pupuk Organik,Butiran (Granular)
1963,GRAND K-PRILL,Hara Makro Majemuk,Prill
1964,GREEN SKAY,Dolomit,Butiran (Granular)
1965,PATIGAN,Pupuk Organik,Tepung (Powder)
1966,PEDANG MAS,Pupuk Organik,Tepung (Powder)
1967,Golden Age Microplex,Lainnya,Cair (Liquid)
1968,Magmur Phoska MSP 36,Dolomit,Butiran (Granular)
1969,COCKHEAD,NPK padat,Butiran (Granular)
1970,Calsimax,Lainnya,Tepung (Powder)
1971,BIOQUALITY,Hayati Majemuk,Cair (Liquid)
1972,ROJO IJO,Lainnya,Cair (Liquid)
1973,suburmandiri,NPK padat,Butiran (Granular)
1974,KELAPA SAWIT MANUNGGAL AGRO TANI,NPK padat,Butiran (Granular)
1975,O-JIRO,Lainnya,Cair (Liquid)
1976,BUKIT PURI,Lainnya,Butiran (Granular)
1977,YaraMila Unik,NPK padat,Butiran (Granular)
1978,SUBURGANIK,Pupuk Organik,Tepung (Powder)
1979,GROGANIC,Pupuk Organik,Butiran (Granular)
1980,TANIKAYA,NPK padat,Butiran (Granular)
1981,Bintang PPT,Pupuk Organik,Butiran (Granular)
1982,PLANTASOL,Pupuk Organik,Cair (Liquid)
1983,EMCOTE,NPK padat,Butiran (Granular)
1984,CHA CHOL DOSKA,NPK padat,Butiran (Granular)
1985,ADHISVIT,Hayati Tunggal,Cair (Liquid)
1986,Boma Sakti Prima 36,Lainnya,Butiran (Granular)
1987,CIPMA GREEN,Hara Makro Majemuk,Butiran (Granular)
1988,GARDENA B,NPK padat,Tepung (Powder)
1989,SUPER AGRO GREEN,Lainnya,Butiran (Granular)
1990,BD TRICHO,Hayati Tunggal,Tepung (Powder)
1991,Humactive,Senyawa Humat,Cair (Liquid)
1992,Mutiara PROFESSIONAL,NPK padat,Butiran (Granular)
1993,ERTAN,NPK padat,Butiran (Granular)
1994,GreenFos,Dolomit,Tepung (Powder)
1995,BIO M2,Pupuk Organik,Cair (Liquid)
1996,BIOLEAF,Pupuk Organik,Cair (Liquid)
1997,suburmandiri,NPK padat,Butiran (Granular)
1998,TRIMUKTI,Hayati Majemuk,Cair (Liquid)
1999,BIOWINPOS,Pupuk Organik,Lain-lainnya
2000,GREENZONE,Pupuk Organik,Cair (Liquid)
2001,LODRIN,NPK padat,Butiran (Granular)
2002,DAUN SAWIT,Lainnya,Butiran (Granular)
2003,NitroMax,Hara Makro Majemuk,Butiran (Granular)
2004,Pure K,Lainnya,Cair (Liquid)
2005,ZINC MICRO,Lainnya,Tepung (Powder)
2006,EXCLUSIVE,NPK padat,Lain-lainnya
2007,PAK TANI,NPK padat,Butiran (Granular)
2008,KANCIL EMAS,NPK padat,Butiran (Granular)
2009,RECOVERY,Hayati Majemuk,Cair (Liquid)
2010,NUTRIGROW,Pupuk Organik,Cair (Liquid)
2011,MerokeMIKRO,Hara Micro Tunggal,Tepung (Powder)
2012,HIMA,Pupuk Organik,Butiran (Granular)
2013,Perisai Ajaib,Hayati Majemuk,Tepung (Powder)
2014,AMINOSONG,Pupuk Organik,Cair (Liquid)
2015,GNF PHOSKA,Dolomit,Butiran (Granular)
2016,PROVIT HIJAU,NPK padat,Lain-lainnya
2017,FERTILA,NPK padat,Tepung (Powder)
2018,ANTASARI,Hara Makro Majemuk,Tepung (Powder)
2019,SATRIA,Hara Makro Majemuk,Cair (Liquid)
2020,DUWIPA,Lainnya,Tepung (Powder)
2021,M-100,Kaptan,Tepung (Powder)
2022,Soil Gold,Lainnya,Butiran (Granular)
2023,MIKOGANIK,Pupuk Organik,Butiran (Granular)
2024,KEBOMAS,NPK padat,Butiran (Granular)
2025,PESANGGEM,Pupuk Organik,Butiran (Granular)
2026,JAGAD TANI,Pupuk Organik,Cair (Liquid)
2027,TIGA KUDA OK3,NPK padat,Butiran (Granular)
2028,MULTISARI GROW,Pupuk Organik,Cair (Liquid)
2029,PULLET,NPK padat,Butiran (Granular)
2030,PUPUK ISKANDAR MUDA,Urea,Butiran (Granular)
2031,FORMULA X,Pupuk Organik,Cair (Liquid)
2032,AGS,Hayati Majemuk,Cair (Liquid)
2033,BIO FISH X,Pupuk Organik,Cair (Liquid)
2034,Evermax Borate Fertilizer,Lainnya,Tepung (Powder)
2035,AMINOFOL,Pupuk Organik,Cair (Liquid)
2036,ESTA Kieser-MAG,Lainnya,Lain-lainnya
2037,FT,Hara Makro Majemuk,Butiran (Granular)
2038,BAGITANI,Pupuk Organik,Cair (Liquid)
2039,MAGNIT PAK TANI,Hara Makro Majemuk,Butiran (Granular)
2040,BINTANG TANI,NPK padat,Butiran (Granular)
2041,TOPSIL,Lainnya,Tepung (Powder)
2042,Catur Bio,Hayati Majemuk,Cair (Liquid)
2043,SAMBUNG MARGO UTOMO,Dolomit,Tepung (Powder)
2044,TMP-18,Fosfat Alam untuk pertanian,Butiran (Granular)
2045,PEKA,Lainnya,Cair (Liquid)
2046,AGRITAMA,NPK padat,Butiran (Granular)
2047,BAPAK IBU TANI,Lainnya,Cair (Liquid)
2048,MS-MUJI SYUKUR,Pupuk Organik,Butiran (Granular)
2049,LAKABA,Lainnya,Butiran (Granular)
2050,TANIMAX,Hayati Majemuk,Cair (Liquid)
2051,DSP 36,Dolomit,Butiran (Granular)
2052,AGROCALLTOP,Dolomit,Tepung (Powder)
2053,FITOMIC RC,Lainnya,Cair (Liquid)
2054,BANANAS,Pupuk Organik,Cair (Liquid)
2055,DOLASMA,Dolomit,Tepung (Powder)
2056,BANTAL,NPK padat,Tepung (Powder)
2057,FT,NPK padat,Butiran (Granular)
2058,CaBion,Lainnya,Butiran (Granular)
2059,CAP TAWON,NPK padat,Butiran (Granular)
2060,MAXXIGRO,NPK padat,Tepung (Powder)
2061,BASFOLIAR Avant Natur,Lainnya,Cair (Liquid)
2062,ENTEC,NPK padat,Butiran (Granular)
2063,VIGANO,Hayati Majemuk,Cair (Liquid)
2064,Glow Green,Hara Makro Majemuk,Cair (Liquid)
2065,INTIBIO,Pupuk Organik,Lain-lainnya
2066,INTI GROW,Lainnya,Cair (Liquid)
2067,GYOMAX,Hayati Majemuk,Cair (Liquid)
2068,SiNutriHS,NPK padat,Lain-lainnya
2069,EMKAPE,Lainnya,Tepung (Powder)
2070,CENTRACALS,Kaptan,Tepung (Powder)
2071,PHONSKA PLUS,NPK padat,Butiran (Granular)
2072,AGRIMORE-Even,NPK padat,Butiran (Granular)
2073,KUATBRO,Hayati Majemuk,Cair (Liquid)
2074,ULTRADAP,Lainnya,Lain-lainnya
2075,EXPLANT,Hayati Majemuk,Cair (Liquid)
2076,BELLRUSS,Fosfat Alam untuk pertanian,Tepung (Powder)
2077,SUBUR MAKIN SUBUR,Pupuk Organik,Lain-lainnya
2078,AKASIA,Dolomit,Tepung (Powder)
2079,PHONSKA ALAM,Hara Makro Majemuk,Butiran (Granular)
2080,SJPS,Dolomit,Tepung (Powder)
2081,ROJOLADANGTANI,Hayati Majemuk,Cair (Liquid)
2082,PHOSMIT,Hayati Majemuk,Cair (Liquid)
2083,SIRIWANGI,Hara Makro Majemuk,Butiran (Granular)
2084,GOLDEN GOLD,Hara Makro Majemuk,Cair (Liquid)
2085,CAKRA PANDAWA,Lainnya,Butiran (Granular)
2086,SELONG,Hara Makro Majemuk,Tepung (Powder)
2087,MULTI PADI PLUS,NPK padat,Tepung (Powder)
2088,CHELATED ZINCOPPER+B,Lainnya,Butiran (Granular)
2089,Mahkota Fertilizer,NPK padat,Butiran (Granular)
2090,PAK TANI,NPK padat,Butiran (Granular)
2091,CAP KUDA SAKTI,Amonium Sulfat (ZA),Butiran (Granular)
2092,MAMPAN CRF,NPK padat,Tablet
2093,BAPAK IBU TANI,Pupuk Organik,Cair (Liquid)
2094,KUJANGFASTGROW,Hara Makro Majemuk,Cair (Liquid)
2095,GOLDENMAX,NPK padat,Butiran (Granular)
2096,KATAINDOGANIK,Pupuk Organik,Butiran (Granular)
2097,SIMBIOS,Hayati Majemuk,Cair (Liquid)
2098,DURATEC,NPK padat,Butiran (Granular)
2099,POTENSAI,Lainnya,Cair (Liquid)
2100,Casa Nutri,Lainnya,Lain-lainnya
2101,MAMIGRO,Lainnya,Cair (Liquid)
2102,PMK KAPUR PEMBUGAR TANAH,Zeolit,Tepung (Powder)
2103,LAO YING,Lainnya,Lain-lainnya
2104,PataGrow,Pupuk Organik,Cair (Liquid)
2105,Mahkota Fertilizer,Lainnya,Butiran (Granular)
2106,TAKESA,Pupuk Organik,Tepung (Powder)
2107,Nanas Padi Kacang,Dolomit,Butiran (Granular)
2108,UTAH,NPK padat,Butiran (Granular)
2109,BLUE CALL,Lainnya,Tepung (Powder)
2110,ECO FARMING FOTOSINTESA,Lainnya,Tepung (Powder)
2111,KARETKU VC,Hara Makro Majemuk,Cair (Liquid)
2112,UNIVERSAL BIOGRO,Hayati Majemuk,Tepung (Powder)
2113,PRIMATRUBUSEVIT,Lainnya,Cair (Liquid)
2114,Simbah Uti,Hayati Majemuk,Tepung (Powder)
2115,NITROPHOS,Nitrogen Phosphate,Butiran (Granular)
2116,GREENWORLD,Hayati Majemuk,Cair (Liquid)
2117,MIKROMATE Cu,Hara Micro Tunggal,Butiran (Granular)
2118,LAO YING,Kalium Klorida (KCl),Butiran (Granular)
2119,Mahkota,Triple Super Fosfat (TSP),Butiran (Granular)
2120,ORIZAPLUS,Hayati Majemuk,Tepung (Powder)
2121,suburmandiri,NPK padat,Butiran (Granular)
2122,RealStrong,Hara Makro Majemuk,Pelet
2123,ZOO MASS,Pupuk Organik,Butiran (Granular)
2124,AKP,Kalium Klorida (KCl),Tepung (Powder)
2125,GAPREMIUM,Pupuk Organik,Cair (Liquid)
2126,AGRIVERE,Lainnya,Butiran (Granular)
2127,INABOR 10,Hara Micro Premier Tunggal,Tepung (Powder)
2128,Bioboost,Hayati Majemuk,Cair (Liquid)
2129,TURRIMAGOLD,NPK padat,Butiran (Granular)
2130,S-KALI 44+B,Lainnya,Butiran (Granular)
2131,FT,Triple Super Fosfat (TSP),Butiran (Granular)
2132,BEN IJO,Pupuk Organik,Cair (Liquid)
2133,goldensoil,Pupuk Organik,Cair (Liquid)
2134,K14,Pupuk Organik,Cair (Liquid)
2135,UREN,Ammonium Nitrat,Butiran (Granular)
2136,BARAYA,Pupuk Organik,Tepung (Powder)
2137,Manohara,Lainnya,Cair (Liquid)
2138,COCKHEAD,Potassium Nitrat,Butiran (Granular)
2139,PELANGI,NPK padat,Butiran (Granular)
2140,Divorma Phoska,NPK padat,Butiran (Granular)
2141,Daun Sawit,Amonium Sulfat (ZA),Butiran (Granular)
2142,Siti Lohjinawe,Pupuk Organik,Cair (Liquid)
2143,KALIMAXTOP,Lainnya,Cair (Liquid)
2144,test,Pembenah Tanah,Pelet
2145,AGRONOUS,NPK padat,Butiran (Granular)
2146,Supra A,Pupuk Organik,Cair (Liquid)
2147,BACTOHORTI,Hayati Majemuk,Tepung (Powder)
2148,BELLARUSIA,Kaptan,Tepung (Powder)
2149,FERTINDO,NPK padat,Butiran (Granular)
2150,COOLANT BOSTER,Lainnya,Cair (Liquid)
2151,BIO HOSS,Pupuk Organik,Cair (Liquid)
2152,Mahkota Fertilizer,NPK padat,Butiran (Granular)
2153,Cap Bunga Merah,NPK padat,Butiran (Granular)
2154,SUPERMES PANEN,Pupuk Organik,Cair (Liquid)
2155,JADI MAS,NPK padat,Butiran (Granular)
2156,NutriTop,Lainnya,Tepung (Powder)
2157,BASFOLIAR,Lainnya,Tepung (Powder)
2158,BIO-LAKSA,Hayati Majemuk,Cair (Liquid)
2159,KPL,Kaptan,Tepung (Powder)
2160,Mentari,Fosfat Alam untuk pertanian,Tepung (Powder)
2161,MULTIDAYA,Hayati Majemuk,Cair (Liquid)
2162,Mahkota,NPK padat,Butiran (Granular)
2163,FT,NPK padat,Butiran (Granular)
2164,Kerambitan Agro,Pupuk Organik,Lain-lainnya
2165,idoLA,Lainnya,Tepung (Powder)
2166,PROVIT MERAH,NPK padat,Lain-lainnya
2167,PELANGI,NPK padat,Butiran (Granular)
2168,AKASIA,Ammonium chlorida,Lain-lainnya
2169,AQ GREEN,Hayati Majemuk,Tepung (Powder)
2170,CAP DAUN,Kalium Klorida (KCl),Tepung (Powder)
2171,MUKTI HASIL,Zeolit,Butiran (Granular)
2172,PLANTTA,Triple Super Fosfat (TSP),Butiran (Granular)
2173,DIVARA BUNGA BUAH,Lainnya,Butiran (Granular)
2174,DARBION PLUS,Pupuk Organik,Cair (Liquid)
2175,BAPAK IBU TANI,NPK padat,Butiran (Granular)
2176,Mentari,Kalium Klorida (KCl),Butiran (Granular)
2177,IMPETUS,NPK padat,Butiran (Granular)
2178,BINTANG BUKIT RAYA,Kaptan,Tepung (Powder)
2179,FERTILA,NPK padat,Butiran (Granular)
2180,ARJUNA,NPK padat,Butiran (Granular)
2181,NPK RACHMA,Lainnya,Cair (Liquid)
2182,FertilO,Pupuk Organik,Tepung (Powder)
2183,High Golden Organik,Pupuk Organik,Cair (Liquid)
2184,EUROSOIL VC EDTA,Hara Micro Tunggal,Butiran (Granular)
2185,Cap PACUL ,Diammonium Phosphate,Butiran (Granular)
2186,AMORY,Hayati Majemuk,Cair (Liquid)
2187,MAHESWARI,Dolomit,Tepung (Powder)
2188,AGROFOS 18,Dolomit,Butiran (Granular)
2189,KUNTUL MAS KTM TUMBUH SUBUR MAKMUR,Dolomit,Butiran (Granular)
2190,PANEN RAYA,Dolomit,Butiran (Granular)
2191,PETRO,Single Super Phosphate (SSP),Butiran (Granular)
2192,MerokeGREEN,Urea,Lain-lainnya
2193,PURE FARM,Pupuk Organik,Cair (Liquid)
2194,CIPMAPE,NPK padat,Butiran (Granular)
2195,CIPMAPE,Lainnya,Butiran (Granular)
2196,UPRISE,Hayati Tunggal,Cair (Liquid)
2197,NUGEBYAR,Pupuk Organik,Cair (Liquid)
2198,Mahkota,NPK padat,Butiran (Granular)
2199,MULTI PADI,Hara Makro Majemuk,Tepung (Powder)
2200,PORIN,Pupuk Organik,Cair (Liquid)
2201,TFG SP 36,Dolomit,Butiran (Granular)
2202,MANDRAGUNA GROW,Pupuk Organik,Cair (Liquid)
2203,AGRO VALCAN,Pupuk Organik,Cair (Liquid)
2204,AVIAFIC,Pupuk Organik,Tablet
2205,GTSP 36 Padi Unggul,Dolomit,Butiran (Granular)
2206,LOGO PLANTONIC MESS,Dolomit,Butiran (Granular)
2207,GANDASIL B,Lainnya,Lain-lainnya
2208,K-CLinTOP,Lainnya,Cair (Liquid)
2209,SUGIH MUJUR BIOSILICA,Lainnya,Cair (Liquid)
2210,ROOTMOST,Hara Makro Majemuk,Cair (Liquid)
2211,NITROPHOSKA,NPK padat,Butiran (Granular)
2212,Randex,Hayati Majemuk,Cair (Liquid)
2213,JADI MAS,NPK padat,Butiran (Granular)
2214,JADI MAS,NPK padat,Butiran (Granular)
2215,Ferti Best NS,Lain - lainnya.,Butiran (Granular)
2216,D'BOOSTERFER,Pupuk Organik,Lain-lainnya
2217,Nagamas,NPK padat,Butiran (Granular)
2218,PALMIC,Lainnya,Butiran (Granular)
2219,AGRO KING,Lainnya,Cair (Liquid)
2220,VIBEST,Pupuk Organik,Tepung (Powder)
2221,STARGROW,Lainnya,Cair (Liquid)
2222,DECOPALMA,Hayati Majemuk,Tepung (Powder)
2223,SANTAGROW,Potassium Nitrat,Prill
2224,VERNO,Lainnya,Butiran (Granular)
2225,GREENSUPE,Lainnya,Cair (Liquid)
2226,SATO-KALI SPECIAL OP NURSERY,NPK padat,Butiran (Granular)
2227,YaraMila Faster,NPK padat,Butiran (Granular)
2228,FERTIBEST,NPK padat,Butiran (Granular)
2229,MUKTI HASIL,Fosfat Alam untuk pertanian,Butiran (Granular)
2230,COCKHEAD,NPK padat,Butiran (Granular)
2231,KUNCI TANI,NPK padat,Butiran (Granular)
2232,KLOTRAN'S MAHKOTA,Dolomit,Butiran (Granular)
2233,MAGFET 100,Dolomit,Tepung (Powder)
2234,INBO,Pupuk Organik,Cair (Liquid)
2235,Tanihara,Hayati Majemuk,Butiran (Granular)
2236,OBOR,Amonium Sulfat (ZA),Tepung (Powder)
2237,GADJAH EMAS RAJANYA PUPUK ORGANIK,Pupuk Organik,Butiran (Granular)
2238,BIOS44DC,Organik,Cair (Liquid)
2239,ANSARU,Pupuk Organik,Tepung (Powder)
2240,VITZMAX,Lainnya,Cair (Liquid)
2241,CAP TAWON,Hara Makro Majemuk,Butiran (Granular)
2242,Mahkota Fertilizer,Lainnya,Butiran (Granular)
2243,SIDANIK,Pupuk Organik,Cair (Liquid)
2244,Hi Tech 19,Pupuk Organik,Cair (Liquid)
2245,SDLFert,NPK padat,Tablet
2246,ARJUNA,NPK padat,Butiran (Granular)
2247,ASANDAH,Dolomit,Tepung (Powder)
2248,SPB 220,Kaptan,Butiran (Granular)
2249,FUMYZA,Hayati Tunggal,Tepung (Powder)
2250,MAXXIGRO,NPK padat,Tepung (Powder)
2251,GREAT GIANT BIOCOMPOST,Pupuk Organik,Prill
2252,BioPronik,Pupuk Organik,Cair (Liquid)
2253,AKASIA,Kalium Klorida (KCl),Tepung (Powder)
2254,Bio-Soil,Organik,Cair (Liquid)
2255,PHOSKAMAS,Dolomit,Butiran (Granular)
2256,Pupuk Indonesia Holding Company Phonska Plus,NPK padat,Butiran (Granular)
2257,INSTAGRO,NPK padat,Butiran (Granular)
2258,TESTAGRO,Pupuk Organik,Butiran (Granular)
2259,KITANG FERTILIZER,NPK padat,Butiran (Granular)
2260,LOB Liquid Organic Biofertilizer,Hayati Majemuk,Cair (Liquid)
2261,KANITRAT,Potassium Nitrat,Lain-lainnya
2262,Remaja,Pupuk Organik,Butiran (Granular)
2263,nutrizim,Hayati Majemuk,Cair (Liquid)
2264,GRO-BS1,Hayati Majemuk,Cair (Liquid)
2265,NO-TA-YAM,Hara Makro Majemuk,Tepung (Powder)
2266,HIBAFLOR,NPK padat,Butiran (Granular)
2267,MEROKE BLEND,Lainnya,Tepung (Powder)
2268,PHOSGREEN,Hara Makro Majemuk,Butiran (Granular)
2269,M313,Hayati Majemuk,Cair (Liquid)
2270,SARI BUMI SIDAYU,Kaptan,Tepung (Powder)
2271,PHOSKA RAJA,Pupuk Organik,Butiran (Granular)
2272,PANJU PANJUNG,Pupuk Organik,Cair (Liquid)
2273,DAUN SAWIT,Kalium Klorida (KCl),Lain-lainnya
2274,TANIVIT D,NPK padat,Tepung (Powder)
2275,CAP TAWON,NPK padat,Butiran (Granular)
2276,CAP DAUN,Fosfat Alam untuk pertanian,Tepung (Powder)
2277,MEGA MIKRO,Lainnya,Tepung (Powder)
2278,Cap Daun Kopi,Dolomit,Butiran (Granular)
2279,TARSSUS,Lainnya,Cair (Liquid)
2280,CAP TAWON,Hara Makro Majemuk,Butiran (Granular)
2281,MANGGA GEDONG,NPK padat,Butiran (Granular)
2282,IJOROYO-ROYO,Hayati Majemuk,Cair (Liquid)
2283,LOB Pupuk Hayati Padi dan Palawija,Hayati Majemuk,Cair (Liquid)
2284,NIBION,Hara Makro Majemuk,Cair (Liquid)
2285,PAMORGANIK MAS,Pupuk Organik,Cair (Liquid)
2286,D.I. GROW GREEN,Pupuk Organik,Cair (Liquid)
2287,BIANGLALA,NPK padat,Butiran (Granular)
2288,ureON,Ammonium chlorida,Butiran (Granular)
2289,Amina,Pupuk Organik,Cair (Liquid)
2290,Eco Bio Farming,Pupuk Organik,Lain-lainnya
2291,DENMAS TANI,Pupuk Organik,Lain-lainnya
2292,NPK HARSA,NPK padat,Butiran (Granular)
2293,DECOPRIMA,Hayati Majemuk,Tepung (Powder)
2294,MerokeSOP,Lainnya,Tepung (Powder)
2295,PERL HUMUS GRANULES,Pupuk Organik,Butiran (Granular)
2296,Kalsuga,Organik,Tepung (Powder)
2297,SS,NPK padat,Butiran (Granular)
2298,GOODLICA,Lainnya,Cair (Liquid)
2299,ESP Plus36,Dolomit,Butiran (Granular)
2300,JAGUAR PLUS,Lainnya,Butiran (Granular)
2301,MIAMAX,Dolomit,Butiran (Granular)
2302,POHON SERAI,Kaptan,Tepung (Powder)
2303,SANTAPHOS,Nitrogen Phosphate,Butiran (Granular)
2304,DEMITRIBARN22,Hayati Majemuk,Cair (Liquid)
2305,REKATANI,Pupuk Organik,Lain-lainnya
2306,FT,NPK padat,Butiran (Granular)
2307,DAYSUKEPlus,Lainnya,Lain-lainnya
2308,POZIL,Pupuk Organik,Cair (Liquid)
2309,SPEEDGRO ,NPK padat,Butiran (Granular)
2310,Hydrofarm,Lainnya,Cair (Liquid)
2311,Mahkota Fertilizer,Amonium Sulfat (ZA),Lain-lainnya
2312,ABABIL,Pupuk Organik,Tepung (Powder)
2313,BERKASA JRS,Dolomit,Tepung (Powder)
2314,Cap Bunga Merah,NPK padat,Butiran (Granular)
2315,BIO AC,Pupuk Organik,Tepung (Powder)
2316,SOLUGRAN,NPK padat,Butiran (Granular)
2317,SUBUR BAROKAH,Dolomit,Butiran (Granular)
2318,Oligo Zinc-EDTA,Hara Micro Tunggal,Butiran (Granular)
2319,EMCOTE,NPK padat,Butiran (Granular)
2320,PETROPHONK ,Lainnya,Butiran (Granular)
2321,TANISES,Hayati Majemuk,Butiran (Granular)
2322,CAKRA PANDAWA,Double Super Phosphate (DSP),Butiran (Granular)
2323,BELLARUSIA,Hara Makro Majemuk,Butiran (Granular)
2324,BioPronik,Hayati Majemuk,Cair (Liquid)
2325,BOMNZN,Lainnya,Cair (Liquid)
2326,MerokeFITOFLEX,Lainnya,Tepung (Powder)
2327,CMP-36,Fosfat Alam untuk pertanian,Butiran (Granular)
2328,PHOSKATANI,Dolomit,Butiran (Granular)
2329,PRIMATRUBUSEVIT,Hara Makro Majemuk,Cair (Liquid)
2330,EMBIO,Hayati Majemuk,Cair (Liquid)
2331,KINGs PHOSKA,Dolomit,Butiran (Granular)
2332,Bio-Trent,Hayati Majemuk,Cair (Liquid)
2333,AGRITAMA,Hara Makro Majemuk,Butiran (Granular)
2334,MANISKALI,NPK padat,Butiran (Granular)
2335,BIO-TRENT,Hayati Majemuk,Cair (Liquid)
2336,FERTICOR,Lainnya,Butiran (Granular)
2337,JM,Hara Makro Majemuk,Butiran (Granular)
2338,POSPORINDOSMG,NPK padat,Butiran (Granular)
2339,HUMUSI,Pupuk Organik,Tepung (Powder)
2340,OLIGOMIX,Lainnya,Tepung (Powder)
2341,BINTANG BUKIT RAYA,Dolomit,Tepung (Powder)
2342,SEMOK,Hayati Majemuk,Butiran (Granular)
2343,Petro Mitraganik,Pupuk Organik,Tepung (Powder)
2344,CAP KUDA SAKTI,Lainnya,Tepung (Powder)
2345,BELLARUSIA,Amonium Sulfat (ZA),Lain-lainnya
2346,BREEN PRIMASSTER,Lainnya,Cair (Liquid)
2347,DEKORGAN PLUS,Hara Makro Majemuk,Cair (Liquid)
2348,PalmChar,Organik,Tepung (Powder)
2349,CORNALET,NPK padat,Lain-lainnya
2350,RealStrong,Hara Makro Majemuk,Pelet
2351,NUTRIFARM AG,Lainnya,Cair (Liquid)
2352,BioDis,Hayati Majemuk,Cair (Liquid)
2353,TRIPELIN,NPK padat,Tepung (Powder)
2354,BEENSAE,Hayati Majemuk,Cair (Liquid)
2355,KUMBANG MAS,NPK padat,Lain-lainnya
2356,CCF FERTICOTE,NPK padat,Butiran (Granular)
2357,CAP DAUN,Amonium Sulfat (ZA),Lain-lainnya
2358,OMBILIN,Lainnya,Tepung (Powder)
2359,PSBN,Pupuk Organik,Cair (Liquid)
2360,Mahkota Fertilizer,Lainnya,Butiran (Granular)
2361,Pupuk Indonesia Holding Company Nitrea,Urea,Butiran (Granular)
2362,NAZA AGRO'S,Pupuk Organik,Cair (Liquid)
2363,TANIKAYA,Pupuk Organik,Cair (Liquid)
2364,GUNASIL,Hara Makro Majemuk,Butiran (Granular)
2365,KUMBANG MAS,NPK padat,Butiran (Granular)
2366,GOLDENMAX,NPK padat,Butiran (Granular)
2367,OPTIMA,Lainnya,Lain-lainnya
2368,PROFTAM,Pupuk Organik,Cair (Liquid)
2369,FERTISAF,Pupuk Organik,Cair (Liquid)
2370,GEMA FLORA ,Hara Makro Majemuk,Cair (Liquid)
2371,KENJI,Senyawa Humat,Cair (Liquid)
2372,HUMIZIO,Kaptan,Butiran (Granular)
2373,CANKALI BUTIR,Hara Makro Majemuk,Butiran (Granular)
2374,MG PETROMAG PLUS,Lainnya,Butiran (Granular)
2375,Randex,Pupuk Organik,Cair (Liquid)
2376,Gramofert,Pupuk Organik,Butiran (Granular)
2377,NUSANTARA,Kalium Klorida (KCl),Tepung (Powder)
2378,BLAUKORN,NPK padat,Butiran (Granular)
2379,SUPERB,Dolomit,Tepung (Powder)
2380,VITALONGAN PLUS,Lainnya,Lain-lainnya
2381,Casa Nutri,Lainnya,Lain-lainnya
2382,GANOFEND,Hayati Tunggal,Tepung (Powder)
2383,BOOS KCL,Lainnya,Cair (Liquid)
2384,SP BANTENG,Lainnya,Butiran (Granular)
2385,FT,NPK padat,Butiran (Granular)
2386,VITA FLORA,Lainnya,Cair (Liquid)
2387,coda,Hara Makro Majemuk,Cair (Liquid)
2388,AKP,Fosfat Alam untuk pertanian,Tepung (Powder)
2389,SATO-KALI SPECIAL OP+B,NPK padat,Butiran (Granular)
2390,HSK-KALI,Kalium Klorida (KCl),Butiran (Granular)
2391,PAK TANI,Kalium Klorida (KCl),Lain-lainnya
2392,Bananas,NPK padat,Butiran (Granular)
2393,BELLARUSIA,Pupuk Organik,Butiran (Granular)
2394,POC Harinjing,Hayati Majemuk,Cair (Liquid)
2395,SAPTA BIO,Hayati Majemuk,Butiran (Granular)
2396,MAMPAN ٩٩,NPK padat,Tablet
2397,G14,Pupuk Organik,Cair (Liquid)
2398,PANEN RAYA,Dolomit,Tepung (Powder)
2399,Sadewa,Pupuk Organik,Cair (Liquid)
2400,FERTILA,NPK padat,Lain-lainnya
2401,FERTILA,NPK padat,Butiran (Granular)
2402,COBAPUKANOR,NPK padat,Batang (Stick)
2403,Starmix,Lainnya,Butiran (Granular)
2404,GNF Mutiara,Dolomit,Butiran (Granular)
2405,BARCAL,Kaptan,Tepung (Powder)
2406,PALMO,NPK padat,Lain-lainnya
2407,MYESHA HARA,NPK padat,Butiran (Granular)
2408,BIO POT,Pupuk Organik,Tepung (Powder)
2409,NutriTop,Lainnya,Tepung (Powder)
2410,Gunung Intan,Dolomit,Tepung (Powder)
2411,Nutremag,Lainnya,Butiran (Granular)
2412,CAP DAUN,Kalium Klorida (KCl),Butiran (Granular)
2413,PALMO,NPK padat,Lain-lainnya
