,brand,jenis,bentuk_formula
284,SPGRO,Hara Makro Majemuk,Cair (Liquid)
285,MENTARI,Lainnya,Butiran (Granular)
286,SUPERACI 2,Hayati Majemuk,Cair (Liquid)
287,JAYA MAKMUR,Dolomit,Tepung (Powder)
288,MARAJA,Pupuk Organik,Lain-lainnya
289,SAN NUTRIEN,Lainnya,Cair (Liquid)
290,SIDGROW,Hayati Majemuk,Cair (Liquid)
291,COBA 22,Hayati Tunggal,Butiran (Granular)
292,BUBBLE TAB,Lainnya,Tablet
293,GSP-36 ,Fosfat Alam untuk pertanian,Butiran (Granular)
294,SUMANS,Hara Makro Majemuk,Butiran (Granular)
295,PETRO GLADIATOR,Hayati Majemuk,Tepung (Powder)
296,ARJUNA,NPK padat,Butiran (Granular)
297,JATI WANGI,NPK padat,Butiran (Granular)
298,KAYAHARA,Pupuk Organik,Tepung (Powder)
299,BELLARUSIA,NPK padat,Butiran (Granular)
300,Cap Bunga Merah,Fosfat Alam untuk pertanian,Butiran (Granular)
301,MerokeTSP,Triple Super Fosfat (TSP),Butiran (Granular)
302,HANOMAN 2MP3,Organik,Lain-lainnya
303,MS3,NPK padat,Lain-lainnya
304,MerokeMAG-S,Hara Makro Majemuk,Tepung (Powder)
305,PHOSKAHA PLUS,Dolomit,Butiran (Granular)
306,PRIMA 15,Dolomit,Butiran (Granular)
307,AGRIVERE,Hara Micro Tunggal,Lain-lainnya
308,BEENSAE,Kaptan,Butiran (Granular)
309,BLACK HORSE,Kalium Klorida (KCl),Butiran (Granular)
310,KEBOMAS,Kaptan,Tepung (Powder)
311,QIUVITA,Hayati Majemuk,Cair (Liquid)
312,Bram Evolution,Pupuk Organik,Cair (Liquid)
313,KACEL,Dolomit,Tepung (Powder)
314,PUPUK INDONESIA HOLDING COMPANY,Urea,Butiran (Granular)
315,NITRALITE,Hara Makro Majemuk,Butiran (Granular)
316,HANTU,Hayati Tunggal,Tepung (Powder)
317,SIRIWANGI,NPK padat,Butiran (Granular)
318,Sawitree,NPK padat,Batang (Stick)
319,GRO,NPK padat,Tepung (Powder)
320,CAP TAWON,NPK padat,Butiran (Granular)
321,ENKU,Pupuk Organik,Lain-lainnya
322,NutriTop,Pupuk Organik,Butiran (Granular)
323,LBA,Hayati Majemuk,Cair (Liquid)
324,Kali100,Lainnya,Cair (Liquid)
325,ALBERLIANESA,Hara Makro Majemuk,Lain-lainnya
326,Buah Ndaru,Hayati Majemuk,Cair (Liquid)
327,BIOPRINT,Hara Makro Majemuk,Cair (Liquid)
328,LAO YING,Lainnya,Butiran (Granular)
329,Humega,Senyawa Humat,Cair (Liquid)
330,LERES,Hara Makro Majemuk,Cair (Liquid)
331,DGW,NPK padat,Butiran (Granular)
332,ANIG 16 PLUS,NPK padat,Butiran (Granular)
333,DOMPEA AGRO PLUS,Pupuk Organik,Tepung (Powder)
334,POLYSULPHATE,Hara Makro Majemuk,Tepung (Powder)
335,BIO SAMURAI JAPKORI,Hayati Majemuk,Cair (Liquid)
336,Pupuk Iskandar  Muda Aceh-Indonesia,Urea,Prill
337,DRAJAT,Dolomit,Tepung (Powder)
338,JAVA ZEA,Zeolit,Butiran (Granular)
339,CALGROPLUS,Pupuk Organik,Tepung (Powder)
340,BELLARUSIA,NPK padat,Butiran (Granular)
341,SPEEDGRO,NPK padat,Tepung (Powder)
